hospital_name,payer,code_type,code,description,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,ein,rate,match_indicator,payer_rate,rate_delta
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,453.64,Yes,1048.28,-594.64
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,5228.0,Yes,1048.28,4179.72
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,3703.0,Yes,1048.28,2654.7200000000003
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,168.25,Yes,1048.28,-880.03
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,1766.0,Yes,1048.28,717.72
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,5228.0,Yes,1048.28,4179.72
the mount sinai hospital,aetna,cpt,43239,Egd Transoral Biopsy Single/Multiple - 43239,1048.28,,131624096,3703.0,Yes,1048.28,2654.7200000000003
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,5845.0,Yes,2992.73,2852.27
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,453.64,Yes,2992.73,-2539.09
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,5228.0,Yes,2992.73,2235.27
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,3703.0,Yes,2992.73,710.27
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,168.25,Yes,2992.73,-2824.48
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,1766.0,Yes,2992.73,-1226.73
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,5228.0,Yes,2992.73,2235.27
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,2992.73,,131624096,3703.0,Yes,2992.73,710.27
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,5845.0,Yes,3740.91,2104.09
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,453.64,Yes,3740.91,-3287.27
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,5228.0,Yes,3740.91,1487.0900000000001
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,3703.0,Yes,3740.91,-37.909999999999854
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,168.25,Yes,3740.91,-3572.66
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,1766.0,Yes,3740.91,-1974.9099999999999
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,5228.0,Yes,3740.91,1487.0900000000001
the mount sinai hospital,aetna,cpt,43239,Egd biopsy single/multiple,3740.91,,131624096,3703.0,Yes,3740.91,-37.909999999999854
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,1651.1,Yes,1246.73,404.3699999999999
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,11500.0,Yes,1246.73,10253.27
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,604.24,Yes,1246.73,-642.49
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,168.25,Yes,1246.73,-1078.48
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,315.47,Yes,1246.73,-931.26
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,4700.0,Yes,1246.73,3453.27
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,168.25,Yes,1246.73,-1078.48
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,1537.48,Yes,1246.73,290.75
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,453.63,Yes,1246.73,-793.1
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,453.63,Yes,1246.73,-793.1
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,11000.0,Yes,1246.73,9753.27
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,571.77,Yes,1246.73,-674.96
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,356.0,Yes,1246.73,-890.73
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,1651.1,Yes,1246.73,404.3699999999999
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,389.25,Yes,1246.73,-857.48
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,374.97,Yes,1246.73,-871.76
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,1651.1,Yes,1246.73,404.3699999999999
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,453.63,Yes,1246.73,-793.1
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,11500.0,Yes,1246.73,10253.27
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,314.29,Yes,1246.73,-932.44
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,148.43,Yes,1246.73,-1098.3
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,571.77,Yes,1246.73,-674.96
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,4700.0,Yes,1246.73,3453.27
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,70.0,Yes,1246.73,-1176.73
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,571.77,Yes,1246.73,-674.96
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,304.72,Yes,1246.73,-942.01
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,453.63,Yes,1246.73,-793.1
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,1651.1,Yes,1246.73,404.3699999999999
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,180.87,Yes,1246.73,-1065.8600000000001
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,1651.1,Yes,1246.73,404.3699999999999
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,843.44,Yes,1246.73,-403.28999999999996
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,960.0,Yes,1246.73,-286.73
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,11000.0,Yes,1246.73,9753.27
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,178.13,Yes,1246.73,-1068.6
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,453.63,Yes,1246.73,-793.1
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,571.77,Yes,1246.73,-674.96
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,571.77,Yes,1246.73,-674.96
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,168.25,Yes,1246.73,-1078.48
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,168.25,Yes,1246.73,-1078.48
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,153.66,Yes,1246.73,-1093.07
montefiore medical center,aetna,cpt,43239,UPPER GI ENDOSCOPY BIOPSY,1246.73,,131740114,168.25,Yes,1246.73,-1078.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,1651.1,Yes,157.52,1493.58
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,11500.0,Yes,157.52,11342.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,604.24,Yes,157.52,446.72
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,168.25,Yes,157.52,10.72999999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,315.47,Yes,157.52,157.95000000000002
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,4700.0,Yes,157.52,4542.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,168.25,Yes,157.52,10.72999999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,1537.48,Yes,157.52,1379.96
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,453.63,Yes,157.52,296.11
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,453.63,Yes,157.52,296.11
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,11000.0,Yes,157.52,10842.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,571.77,Yes,157.52,414.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,356.0,Yes,157.52,198.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,1651.1,Yes,157.52,1493.58
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,389.25,Yes,157.52,231.73
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,374.97,Yes,157.52,217.45000000000002
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,1651.1,Yes,157.52,1493.58
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,453.63,Yes,157.52,296.11
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,11500.0,Yes,157.52,11342.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,314.29,Yes,157.52,156.77
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,148.43,Yes,157.52,-9.090000000000003
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,571.77,Yes,157.52,414.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,4700.0,Yes,157.52,4542.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,70.0,Yes,157.52,-87.52000000000001
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,571.77,Yes,157.52,414.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,304.72,Yes,157.52,147.20000000000002
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,453.63,Yes,157.52,296.11
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,1651.1,Yes,157.52,1493.58
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,180.87,Yes,157.52,23.349999999999994
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,1651.1,Yes,157.52,1493.58
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,843.44,Yes,157.52,685.9200000000001
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,960.0,Yes,157.52,802.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,11000.0,Yes,157.52,10842.48
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,178.13,Yes,157.52,20.609999999999985
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,453.63,Yes,157.52,296.11
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,571.77,Yes,157.52,414.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,571.77,Yes,157.52,414.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,168.25,Yes,157.52,10.72999999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,168.25,Yes,157.52,10.72999999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,153.66,Yes,157.52,-3.8600000000000136
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,157.52,,131740114,168.25,Yes,157.52,10.72999999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,1651.1,Yes,685.88,965.2199999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,11500.0,Yes,685.88,10814.12
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,604.24,Yes,685.88,-81.63999999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,168.25,Yes,685.88,-517.63
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,315.47,Yes,685.88,-370.40999999999997
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,4700.0,Yes,685.88,4014.12
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,168.25,Yes,685.88,-517.63
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,1537.48,Yes,685.88,851.6
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,453.63,Yes,685.88,-232.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,453.63,Yes,685.88,-232.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,11000.0,Yes,685.88,10314.12
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,571.77,Yes,685.88,-114.11000000000001
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,356.0,Yes,685.88,-329.88
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,1651.1,Yes,685.88,965.2199999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,389.25,Yes,685.88,-296.63
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,374.97,Yes,685.88,-310.90999999999997
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,1651.1,Yes,685.88,965.2199999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,453.63,Yes,685.88,-232.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,11500.0,Yes,685.88,10814.12
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,314.29,Yes,685.88,-371.59
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,148.43,Yes,685.88,-537.45
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,571.77,Yes,685.88,-114.11000000000001
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,4700.0,Yes,685.88,4014.12
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,70.0,Yes,685.88,-615.88
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,571.77,Yes,685.88,-114.11000000000001
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,304.72,Yes,685.88,-381.15999999999997
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,453.63,Yes,685.88,-232.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,1651.1,Yes,685.88,965.2199999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,180.87,Yes,685.88,-505.01
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,1651.1,Yes,685.88,965.2199999999999
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,843.44,Yes,685.88,157.56000000000006
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,960.0,Yes,685.88,274.12
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,11000.0,Yes,685.88,10314.12
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,178.13,Yes,685.88,-507.75
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,453.63,Yes,685.88,-232.25
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,571.77,Yes,685.88,-114.11000000000001
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,571.77,Yes,685.88,-114.11000000000001
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,168.25,Yes,685.88,-517.63
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,168.25,Yes,685.88,-517.63
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,153.66,Yes,685.88,-532.22
montefiore medical center,aetna,cpt,43239,PR EDG TRANSORAL BIOPSY SINGLE/MULTIPLE,685.88,,131740114,168.25,Yes,685.88,-517.63
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,1651.1,Yes,1027.27,623.8299999999999
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,11500.0,Yes,1027.27,10472.73
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,604.24,Yes,1027.27,-423.03
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,168.25,Yes,1027.27,-859.02
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,315.47,Yes,1027.27,-711.8
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,4700.0,Yes,1027.27,3672.73
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,168.25,Yes,1027.27,-859.02
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,1537.48,Yes,1027.27,510.21000000000004
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,453.63,Yes,1027.27,-573.64
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,453.63,Yes,1027.27,-573.64
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,11000.0,Yes,1027.27,9972.73
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,571.77,Yes,1027.27,-455.5
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,356.0,Yes,1027.27,-671.27
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,1651.1,Yes,1027.27,623.8299999999999
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,389.25,Yes,1027.27,-638.02
montefiore medical center,aetna,cpt,43239,EGD BIOPSY SINGLE/MULTIPLE,1027.27,,131740114,374.97,Yes,1027.27,-652.3
